,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
53,2014 Hyundai Eon MAGNA PLUS MANUAL,"353,599",Non-Accidental,"46,920 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-02-M-x-xxxx,November 2014,"46,920km (15 Dec 2021)"
54,2014 Maruti Wagon R 1.0 VXI MANUAL,"391,799",Non-Accidental,"45,572 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,KA-01-M-x-xxxx,May 2014,"45,572km (11 Nov 2021)"
55,2014 Maruti Wagon R 1.0 VXI MANUAL,"406,499",Non-Accidental,"43,883 km",MANUAL,Valid upto Jan 20233rd Party,3rd Owner,Petrol,KA-04-M-x-xxxx,July 2014,"43,883km (13 Jan 2022)"
56,2014 Hyundai Eon MAGNA PLUS MANUAL,"356,899",Non-Accidental,"56,213 km",MANUAL,Valid upto Aug 2022Comp,2nd Owner,Petrol,KA-50-N-x-xxxx,May 2014,"56,213km (18 Jan 2022)"
57,2016 Hyundai i10 SPORTZ 1.1 IRDE2 MANUAL,"441,299",Non-Accidental,"35,640 km",MANUAL,Valid upto Dec 2022Comp,2nd Owner,Petrol,KA-22-M-x-xxxx,November 2016,"35,640km (27 Dec 2021)"
58,2012 Hyundai i10 ERA 1.1 IRDE MANUAL,"405,499",Non-Accidental,"41,155 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-M-x-xxxx,May 2012,"41,155km (12 Jan 2022)"
59,2015 Maruti Wagon R 1.0 VXI MANUAL,"438,299",Non-Accidental,"36,544 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-05-M-x-xxxx,March 2015,"36,544km (10 Nov 2021)"
60,2017 Maruti Celerio ZXI  MANUAL,"486,499",Non-Accidental,"34,177 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-N-x-xxxx,November 2017,"34,177km (13 Dec 2021)"
61,2012 Maruti Alto K10 VXI  MANUAL,"309,699",Non-Accidental,"49,493 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-M-x-xxxx,February 2012,"49,493km (29 Oct 2021)"
62,2015 Hyundai i10 MAGNA 1.1 IRDE2 MANUAL,"448,399",Non-Accidental,"11,765 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,KA-53-M-x-xxxx,September 2015,"11,765km (11 Jan 2022)"
63,2019 Maruti Eeco 5 STR WITH AC PLUSHTR MANUAL,"481,199",Non-Accidental,"12,154 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,KA-19-M-x-xxxx,June 2019,"12,154km (13 Jan 2022)"
64,2016 Maruti Alto K10 VXI  MANUAL,"331,899",Non-Accidental,"73,745 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-46-M-x-xxxx,March 2016,"73,745km (18 Dec 2021)"
65,2018 Maruti Eeco 5 STR WITH AC PLUSHTR MANUAL,"439,799",Non-Accidental,"31,773 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Petrol,KA-04-M-x-xxxx,April 2018,"31,773km (20 Dec 2021)"
66,2018 Maruti Eeco 5 STR WITH AC PLUSHTR MANUAL,"437,399",Non-Accidental,"48,272 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,KA-19-M-x-xxxx,February 2018,"48,272km (13 Jan 2022)"
67,2014 Maruti Alto 800 LXI MANUAL,"311,199",Non-Accidental,"43,569 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-M-x-xxxx,March 2014,"43,569km (02 Dec 2021)"
68,2017 Maruti Alto 800 VXI MANUAL,"339,999",Non-Accidental,"6,290 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-53-M-x-xxxx,March 2017,"6,290km (02 Jan 2022)"
69,2017 Maruti Eeco 5 STR WITH AC PLUSHTR MANUAL,"433,199",Non-Accidental,"31,060 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-41-M-x-xxxx,February 2017,"31,060km (15 Nov 2021)"
70,2017 Maruti Alto K10 VXI AMT MANUAL,"407,499",Non-Accidental,"24,058 km",MANUAL,Valid upto Aug 2022Zero_Dep,2nd Owner,Petrol,KA-01-M-x-xxxx,January 2017,"24,058km (27 Nov 2021)"
71,2016 Maruti Alto K10 VXI (O) AMT MANUAL,"389,099",Non-Accidental,"28,783 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-41-M-x-xxxx,May 2016,"28,783km (27 Oct 2021)"
72,2016 Maruti Celerio VXI AMT AUTOMATIC,"469,599",Non-Accidental,"42,560 km",AUTOMATIC,Valid upto Aug 2022Third_party,1st Owner,Petrol,KA-05-M-x-xxxx,July 2016,"42,560km (29 Nov 2021)"
73,2012 Honda City V MT PETROL MANUAL,"505,499",Non-Accidental,"97,288 km",MANUAL,Valid upto May 2022Third_party,3rd Owner,Petrol,KA-03-M-x-xxxx,January 2012,"97,288km (07 Jan 2022)"
74,2014 Maruti Wagon R 1.0 VXI MANUAL,"355,899",Non-Accidental,"57,378 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-03-M-x-xxxx,August 2014,"57,378km (07 Jan 2022)"
75,2014 Hyundai Verna FLUIDIC 1.4 VTVT CX ,"605,099",Non-Accidental,"44,336 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-05-M-x-xxxx,November 2014,"44,336km (12 Jan 2022)"
76,2016 Renault Kwid RXT 1.0 EASY-R  AT ,"360,399",Non-Accidental,"35,941 km",NA,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-05-M-x-xxxx,November 2016,"35,941km (03 Nov 2021)"
77,2019 KIA SELTOS GTX 1.4 GDI AT PETROL AUTOMATIC,"1,704,199",Non-Accidental,"15,023 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-04-M-x-xxxx,August 2019,"15,023km (22 Dec 2021)"
