,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
226,2015 Hyundai Grand i10 MAGNA 1.1 CRDI MANUAL,"345,099",Non-Accidental,"107,330 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-10-C-x-xxxx,August 2015,"107,330km (27 Dec 2021)"
227,2018 Maruti Baleno DELTA 1.2 K12  MANUAL,"578,799",Non-Accidental,"75,073 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-9C-A-x-xxxx,February 2018,"75,073km (05 Jan 2022)"
228,2015 Maruti Swift LDI O MANUAL,"395,899",Non-Accidental,"68,276 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-8C-A-x-xxxx,August 2015,"68,276km (03 Jan 2022)"
229,2020 Maruti Baleno DELTA 1.2 K12  MANUAL,"695,499",Non-Accidental,"7,391 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,UP-16-C-x-xxxx,July 2020,"7,391km (06 Jan 2022)"
230,2017 Renault Kwid 1.0 RXT Opt MANUAL,"335,599",Non-Accidental,"41,248 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,UP-16-B-x-xxxx,March 2017,"41,248km (17 Jan 2022)"
231,2015 Maruti Swift ZXI MANUAL,"394,799",Non-Accidental,"68,025 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-81-4-x-xxxx,November 2015,"68,025km (06 Nov 2021)"
232,2013 Maruti Swift Dzire LDI BS IV MANUAL,"328,299",Non-Accidental,"49,944 km",MANUAL,Valid upto Sep 2022Third_party,2nd Owner,Diesel,DL-9C-A-x-xxxx,August 2013,"49,944km (03 Nov 2021)"
233,2020 Maruti Alto LXI MANUAL,"355,699",Non-Accidental,"3,867 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-2C-B-x-xxxx,October 2020,"3,867km (18 Nov 2021)"
234,2013 Hyundai i20 ERA 1.4 CRDI MANUAL,"353,899",Non-Accidental,"37,840 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-3C-B-x-xxxx,August 2013,"37,840km (03 Jan 2022)"
235,2017 Maruti Swift VDI ABS MANUAL,"548,099",Non-Accidental,"46,220 km",MANUAL,Valid upto May 2022Comp,1st Owner,Diesel,HR-51-B-x-xxxx,May 2017,"46,220km (01 Nov 2021)"
236,2013 Hyundai i20 SPORTZ 1.4 CRDI MANUAL,"355,799",Non-Accidental,"64,361 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-3C-B-x-xxxx,August 2013,"64,361km (04 Dec 2021)"
237,2013 Maruti Swift VDI MANUAL,"322,399",Non-Accidental,"120,060 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-3C-B-x-xxxx,July 2013,"120,060km (28 Dec 2021)"
238,2015 Maruti Swift Dzire ZDI MANUAL,"559,199",Non-Accidental,"13,373 km",MANUAL,Valid upto Jul 2022Comp,2nd Owner,Diesel,HR-26-C-x-xxxx,July 2015,"13,373km (10 Jan 2022)"
239,2020 Maruti Alto LXI MANUAL,"335,999",Non-Accidental,"11,654 km",MANUAL,Valid upto May 2022Zero_Dep,1st Owner,Petrol,UP-14-E-x-xxxx,January 2020,"11,654km (13 Jan 2022)"
240,2019 Renault Kwid RXL MANUAL,"344,499",Non-Accidental,"1,179 km",MANUAL,Valid upto Jul 2022Zero_Dep,1st Owner,Petrol,HR-03-Y-x-xxxx,July 2019,"1,179km (17 Jan 2022)"
241,2019 Renault Kwid RXL MANUAL,"344,499",Non-Accidental,"6,872 km",MANUAL,Valid upto Aug 2022Third_party,1st Owner,Petrol,DL-12-C-x-xxxx,June 2019,"6,872km (10 Jan 2022)"
242,2019 Renault Kwid RXL MANUAL,"344,499",Non-Accidental,"41,661 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-5C-Q-x-xxxx,March 2019,"41,661km (24 Dec 2021)"
243,2015 Maruti Swift Dzire VXI 1.2 BS IV MANUAL,"504,899",Non-Accidental,"32,686 km",MANUAL,Valid upto Oct 2022Comp,1st Owner,Petrol,UP-16-B-x-xxxx,September 2015,"32,686km (13 Jan 2022)"
244,2019 Renault Kwid RXL MANUAL,"344,499",Non-Accidental,"24,756 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-26-D-x-xxxx,February 2019,"24,756km (24 Dec 2021)"
245,2019 Renault Kwid RXL MANUAL,"344,499",Non-Accidental,"13,458 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-51-B-x-xxxx,January 2019,"13,458km (21 Oct 2021)"
246,2019 Renault Kwid RXL MANUAL,"344,499",Non-Accidental,"30,252 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-26-D-x-xxxx,March 2019,"30,252km (03 Jan 2022)"
247,2014 Maruti Wagon R 1.0 LXI MANUAL,"334,799",Non-Accidental,"5,027 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Petrol,DL-9C-A-x-xxxx,March 2014,"5,027km (17 Jan 2022)"
248,2015 Maruti Swift VDI ABS MANUAL,"387,899",Non-Accidental,"122,972 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-8C-A-x-xxxx,August 2015,"122,972km (01 Jan 2022)"
249,2015 Maruti Swift Dzire VDI ABS ,"501,199",Non-Accidental,"50,862 km",NA,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-6C-N-x-xxxx,April 2015,"50,862km (05 Jan 2022)"
250,2019 Tata Tiago XT 1.2 REVOTRON MANUAL,"503,399",Non-Accidental,"5,388 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,UP-13-B-x-xxxx,February 2019,"5,388km (13 Nov 2021)"
251,2020 Maruti Alto LXI MANUAL,"330,399",Non-Accidental,"7,610 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-26-E-x-xxxx,December 2020,"7,610km (14 Jan 2022)"
252,2013 Maruti Swift VDI MANUAL,"332,399",Non-Accidental,"87,567 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-1C-P-x-xxxx,January 2013,"87,567km (02 Jan 2022)"
253,2019 Renault Kwid RXL MANUAL,"353,899",Non-Accidental,"16,787 km",MANUAL,Valid upto Oct 2022Zero_Dep,1st Owner,Petrol,UP-16-C-x-xxxx,July 2019,"16,787km (31 Dec 2021)"
254,2019 Renault Kwid RXL MANUAL,"353,899",Non-Accidental,"20,322 km",MANUAL,Valid upto Nov 2022Zero_Dep,1st Owner,Petrol,UP-16-C-x-xxxx,June 2019,"20,322km (06 Jan 2022)"
255,2013 Maruti Swift VDI MANUAL,"334,999",Non-Accidental,"70,981 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-2C-A-x-xxxx,August 2013,"70,981km (13 Nov 2021)"
256,2015 Maruti Swift Dzire VXI 1.2 BS IV MANUAL,"513,499",Non-Accidental,"13,358 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-14-C-x-xxxx,November 2015,"13,358km (04 Jan 2022)"
257,2015 Maruti Swift LDI BS IV MANUAL,"379,599",Non-Accidental,"60,546 km",MANUAL,Valid upto Jul 2022Third Party,1st Owner,Diesel,DL-6C-P-x-xxxx,July 2015,"60,546km (13 Jan 2022)"
258,2019 Maruti Baleno DELTA 1.2 K12  MANUAL,"639,099",Non-Accidental,"14,237 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-29-A-x-xxxx,January 2019,"14,237km (28 Oct 2021)"
259,2018 Maruti Baleno DELTA 1.2 K12  MANUAL,"612,399",Non-Accidental,"23,580 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,UP-16-B-x-xxxx,February 2018,"23,580km (10 Jan 2022)"
260,2015 Maruti Swift Dzire ZXI 1.2 BS IV MANUAL,"507,899",Non-Accidental,"57,022 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-2C-A-x-xxxx,July 2015,"57,022km (12 Jan 2022)"
261,2013 Maruti Swift VDI MANUAL,"340,399",Non-Accidental,"112,335 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-5C-J-x-xxxx,January 2013,"112,335km (09 Aug 2021)"
262,2015 Maruti Swift Dzire ZDI MANUAL,"529,899",Non-Accidental,"30,696 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-9C-A-x-xxxx,March 2015,"30,696km (03 Jan 2022)"
263,2020 Maruti Vitara Brezza ZDI + AMT AUTOMATIC,"1,090,499",Non-Accidental,"17,465 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-2C-B-x-xxxx,February 2020,"17,465km (31 Dec 2021)"
264,2013 Maruti Swift VDI MANUAL,"347,499",Non-Accidental,"68,749 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-26-C-x-xxxx,August 2013,"68,749km (27 Nov 2021)"
265,2015 Maruti Swift VDI ABS MANUAL,"390,999",Non-Accidental,"96,428 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,UP-14-C-x-xxxx,August 2015,"96,428km (24 Dec 2021)"
266,2013 Maruti Swift VDI MANUAL,"340,999",Non-Accidental,"122,416 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-3C-C-x-xxxx,July 2013,"122,416km (15 Nov 2021)"
