,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
308,2015 Hyundai Creta 1.6 SX CRDI ,"921,299",Non-Accidental,"81,424 km",NA,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-06-B-x-xxxx,October 2015,"81,424km (30 Dec 2021)"
309,2014 Maruti Ciaz VDI MANUAL,"538,699",Non-Accidental,"135,893 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-17-A-x-xxxx,December 2014,"135,893km (23 Dec 2021)"
310,2016 Hyundai Creta 	1.6 SX PLUS VTVT  ,"901,799",Non-Accidental,"61,369 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-43-B-x-xxxx,October 2016,"61,369km (08 Jan 2022)"
311,2015 Honda City VX MT PETROL MANUAL,"737,799",Non-Accidental,"50,169 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,MH-12-M-x-xxxx,May 2015,"50,169km (28 Oct 2021)"
312,2016 Hyundai Creta 1.6 E + VTVT MANUAL,"797,599",Non-Accidental,"23,129 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-48-A-x-xxxx,September 2016,"23,129km (11 Jan 2022)"
313,2016 Volkswagen Ameo HIGHLINE 1.2 MANUAL,"482,599",Non-Accidental,"39,132 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,MH-12-N-x-xxxx,September 2016,"39,132km (24 Dec 2021)"
314,2016 Renault Kwid RXT Opt MANUAL,"348,999",Non-Accidental,"28,255 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-43-A-x-xxxx,May 2016,"28,255km (12 Nov 2021)"
315,2016 Hyundai Creta 1.6 SX PLUS AUTO PETROL AUTOMATIC,"1,059,899",Non-Accidental,"54,201 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-N-x-xxxx,September 2016,"54,201km (12 Jan 2022)"
316,2017 Ford Figo Aspire 1.2 TITANIUM PETROL MANUAL,"510,499",Non-Accidental,"41,171 km",MANUAL,Valid upto Sep 2022Third_party,1st Owner,Petrol,MH-12-P-x-xxxx,June 2017,"41,171km (06 Jan 2022)"
317,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE MANUAL,"776,399",Non-Accidental,"96,919 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,MH-12-N-x-xxxx,July 2016,"96,919km (06 Nov 2021)"
318,2017 Maruti Vitara Brezza ZDI MANUAL,"761,099",Non-Accidental,"47,948 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-48-A-x-xxxx,October 2017,"47,948km (13 Nov 2021)"
319,2014 Ford Ecosport 1.5TITANIUM TDCI MANUAL,"553,599",Non-Accidental,"118,719 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Diesel,MH-12-L-x-xxxx,July 2014,"118,719km (30 Dec 2021)"
