,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
175,2014 Maruti Wagon R 1.0 VXI MANUAL,"336,599",Non-Accidental,"33,121 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-08-5-x-xxxx,January 2014,"33,121km (04 Jan 2022)"
176,2014 Maruti Wagon R 1.0 VXI MANUAL,"334,199",Non-Accidental,"35,834 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Petrol,WB-24-Y-x-xxxx,January 2014,"35,834km (25 Dec 2021)"
177,2019 Hyundai NEW SANTRO SPORTZ 1.1 ,"532,699",Non-Accidental,"2,017 km",NA,Valid upto Jan 2023Zero Depreciation,1st Owner,Petrol,WB-10-A-x-xxxx,March 2019,"2,017km (17 Jan 2022)"
178,2018 Maruti Wagon R 1.0 VXI MANUAL,"458,999",Non-Accidental,"32,472 km",MANUAL,Valid upto Dec 20223rd Party,1st Owner,Petrol,WB-08-F-x-xxxx,September 2018,"32,472km (17 Jan 2022)"
179,2019 Maruti S PRESSO VXI PLUS MANUAL,"447,799",Non-Accidental,"21,938 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-26-B-x-xxxx,September 2019,"21,938km (31 Dec 2021)"
180,2013 Maruti Alto K10 VXI  MANUAL,"247,099",Non-Accidental,"41,992 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-24-R-x-xxxx,April 2013,"41,992km (10 Jan 2022)"
181,2014 Maruti Alto 800 VXI MANUAL,"243,199",Non-Accidental,"34,369 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,October 2014,"34,369km (07 Jan 2022)"
182,2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT MANUAL,"500,599",Non-Accidental,"19,168 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-12-A-x-xxxx,April 2019,"19,168km (23 Dec 2021)"
183,2019 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT MANUAL,"538,699",Non-Accidental,"9,682 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,March 2019,"9,682km (22 Dec 2021)"
184,2016 Maruti Wagon R 1.0 VXI MANUAL,"375,099",Non-Accidental,"81,832 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,January 2016,"81,832km (03 Jan 2022)"
185,2014 Maruti Wagon R 1.0 VXI MANUAL,"362,499",Non-Accidental,"52,661 km",MANUAL,Valid upto May 2022Third_party,1st Owner,Petrol,WB-40-A-x-xxxx,January 2014,"52,661km (11 Jan 2022)"
186,2020 Maruti S PRESSO VXI PLUS MANUAL,"442,499",Non-Accidental,"5,794 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,WB-24-A-x-xxxx,July 2020,"5,794km (28 Dec 2021)"
187,2019 Maruti Alto VXI MANUAL,"397,799",Non-Accidental,"5,197 km",MANUAL,Valid upto Sep 2022Zero_Dep,1st Owner,Petrol,WB-26-B-x-xxxx,September 2019,"5,197km (23 Dec 2021)"
188,2014 Maruti Alto 800 LXI MANUAL,"240,999",Non-Accidental,"29,950 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,WB-24-Y-x-xxxx,January 2014,"29,950km (14 Dec 2021)"
189,2014 Maruti Alto 800 LXI MANUAL,"241,199",Non-Accidental,"24,316 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-06-L-x-xxxx,July 2014,"24,316km (31 Dec 2021)"
190,2018 Maruti Alto 800 LXI MANUAL,"304,499",Non-Accidental,"8,933 km",MANUAL,Valid upto Jul 2022Zero_Dep,1st Owner,Petrol,WB-02-A-x-xxxx,June 2018,"8,933km (15 Jan 2022)"
191,2018 Maruti Alto 800 LXI MANUAL,"304,499",Non-Accidental,"14,797 km",MANUAL,Valid upto May 2022Comp,1st Owner,Petrol,WB-26-A-x-xxxx,May 2018,"14,797km (19 Dec 2021)"
192,2018 Maruti Alto 800 LXI MANUAL,"304,499",Non-Accidental,"30,398 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-12-A-x-xxxx,February 2018,"30,398km (28 Dec 2021)"
193,2018 Maruti Alto 800 LXI MANUAL,"304,499",Non-Accidental,"34,696 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-06-Q-x-xxxx,April 2018,"34,696km (25 Dec 2021)"
194,2019 Maruti Alto VXI MANUAL,"389,099",Non-Accidental,"14,963 km",MANUAL,Valid upto Dec 2022Zero_Dep,1st Owner,Petrol,WB-12-B-x-xxxx,December 2019,"14,963km (11 Jan 2022)"
195,2019 Maruti Alto VXI MANUAL,"378,099",Non-Accidental,"2,000 km",MANUAL,Valid upto Dec 2022Third_party,1st Owner,Petrol,WB-10-B-x-xxxx,December 2019,"2,000km (27 Dec 2021)"
196,2018 Maruti Alto 800 VXI MANUAL,"317,799",Non-Accidental,"5,586 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,WB-06-Q-x-xxxx,April 2018,"5,586km (06 Oct 2021)"
197,2018 Maruti Alto 800 VXI MANUAL,"317,799",Non-Accidental,"10,865 km",MANUAL,Valid upto May 2022Third_party,1st Owner,Petrol,WB-10-4-x-xxxx,April 2018,"10,865km (04 Jan 2022)"
198,2014 Maruti Alto K10 VXI  MANUAL,"233,499",Non-Accidental,"77,830 km",MANUAL,Valid upto Apr 2022Comp,1st Owner,Petrol,WB-02-A-x-xxxx,February 2014,"77,830km (26 Dec 2021)"
199,2019 Hyundai NEW SANTRO 1.1 MAGNA MT MANUAL,"436,899",Non-Accidental,"9,628 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,March 2019,"9,628km (10 Nov 2021)"
