,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
105,2018 Maruti Swift VDI MANUAL,"587,099",Non-Accidental,"46,113 km",MANUAL,Valid upto Sep 2022Third_party,2nd Owner,Diesel,GJ-05-R-x-xxxx,June 2018,"46,113km (10 Jan 2022)"
106,2018 Maruti Vitara Brezza VDI MANUAL,"743,299",Non-Accidental,"72,378 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-18-B-x-xxxx,August 2018,"72,378km (01 Jan 2022)"
107,2018 Maruti Baleno DELTA 1.2 K12  MANUAL,"539,899",Non-Accidental,"77,498 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-27-C-x-xxxx,August 2018,"77,498km (03 Jan 2022)"
108,2018 Maruti Vitara Brezza VDI MANUAL,"757,999",Non-Accidental,"104,921 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-21-C-x-xxxx,June 2018,"104,921km (19 Nov 2021)"
109,2019 Honda Amaze 1.2 SMT I VTEC MANUAL,"659,299",Non-Accidental,"35,981 km",MANUAL,Valid upto Sep 2022Zero_Dep,1st Owner,Petrol,GJ-01-K-x-xxxx,July 2019,"35,981km (19 Jan 2022)"
110,2019 Hyundai Creta 1.6 E + VTVT MANUAL,"1,055,699",Non-Accidental,"5,616 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-18-B-x-xxxx,July 2019,"5,616km (01 Jan 2022)"
111,2016 Maruti Vitara Brezza VDI MANUAL,"632,399",Non-Accidental,"108,852 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-16-B-x-xxxx,September 2016,"108,852km (09 Nov 2021)"
112,2017 Maruti Swift ZXI MANUAL,"598,299",Non-Accidental,"44,962 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-27-B-x-xxxx,April 2017,"44,962km (16 Dec 2021)"
113,2016 Maruti Vitara Brezza VDI OPT MANUAL,"617,399",Non-Accidental,"110,954 km",MANUAL,Valid upto Oct 2022Comp,1st Owner,Diesel,GJ-17-B-x-xxxx,September 2016,"110,954km (13 Nov 2021)"
114,2017 Maruti Swift VDI OPT MANUAL,"476,599",Non-Accidental,"146,251 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-H-x-xxxx,October 2017,"146,251km (26 Oct 2021)"
