,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
35,2021 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT ,"1,108,499",Non-Accidental,"25,610 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-H-x-xxxx,March 2021,"25,610km (13 Jan 2022)"
36,2014 Maruti Swift VXI MANUAL,"464,199",Non-Accidental,"30,466 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,AP-31-C-x-xxxx,March 2014,"30,466km (29 Nov 2021)"
37,2018 Maruti Vitara Brezza ZDI AMT AUTOMATIC,"951,499",Non-Accidental,"44,764 km",AUTOMATIC,Valid upto Jan 20233rd Party,2nd Owner,Diesel,TS-12-E-x-xxxx,September 2018,"44,764km (15 Jan 2022)"
38,2014 Maruti Wagon R 1.0 VXI MANUAL,"378,299",Non-Accidental,"92,708 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-08-E-x-xxxx,November 2014,"92,708km (29 Dec 2021)"
39,2014 Maruti Ritz VDI  MANUAL,"405,999",Non-Accidental,"94,522 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-09-E-x-xxxx,July 2014,"94,522km (08 Jan 2022)"
40,2017 Hyundai Grand i10 SPORTS 1.2 VTVT MANUAL,"532,499",Non-Accidental,"19,376 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,AP-03-C-x-xxxx,August 2017,"19,376km (07 Jan 2022)"
41,2019 Maruti Eeco 5 STR WITH AC PLUSHTR MANUAL,"460,599",Non-Accidental,"23,410 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-09-F-x-xxxx,May 2019,"23,410km (02 Jan 2022)"
42,2019 Maruti Eeco 5 STR WITH AC PLUSHTR MANUAL,"430,999",Non-Accidental,"21,402 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,TS-11-E-x-xxxx,May 2019,"21,402km (05 Nov 2021)"
43,2018 Maruti Alto K10 VXI  MANUAL,"369,099",Non-Accidental,"53,339 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-G-x-xxxx,February 2018,"53,339km (12 Jan 2022)"
44,2017 Hyundai Creta 1.6 SX PLUS AUTO PETROL AUTOMATIC,"1,057,699",Non-Accidental,"44,234 km",AUTOMATIC,Valid upto Aug 2022Comp,2nd Owner,Petrol,TS-08-F-x-xxxx,August 2017,"44,234km (19 Jan 2022)"
45,2018 Maruti Alto 800 LXI OPT MANUAL,"319,099",Non-Accidental,"31,852 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-G-x-xxxx,November 2018,"31,852km (21 Jan 2022)"
46,2018 Ford Ecosport 1.0 ECOBOOST TITANIUM SPORTS(SUNROOF) ,"955,899",Non-Accidental,"9,231 km",NA,Valid upto Jun 2022Comprehensive,1st Owner,Petrol,TS-07-G-x-xxxx,May 2018,"9,231km (20 Jan 2022)"
47,2019 Maruti Alto K10 VXI  MANUAL,"409,199",Non-Accidental,"18,838 km",MANUAL,Valid upto Dec 2022Comprehensive,1st Owner,Petrol,TS-08-G-x-xxxx,September 2019,"18,838km (20 Jan 2022)"
48,2017 Honda Jazz 1.2 V MT  MANUAL,"594,199",Non-Accidental,"24,448 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-09-E-x-xxxx,January 2017,"24,448km (21 Jan 2022)"
49,2011 Hyundai i10 SPORTZ 1.2 AT KAPPA2 AUTOMATIC,"357,899",Non-Accidental,"79,359 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,AP-29-A-x-xxxx,April 2011,"79,359km (30 Dec 2021)"
50,2016 Hyundai Creta 1.6 CRDI SX PLUS AUTO AUTOMATIC,"928,699",Non-Accidental,"108,963 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-08-F-x-xxxx,August 2016,"108,963km (17 Jan 2022)"
51,2019 Tata Harrier XZ 2.0L Kryotec MANUAL,"1,442,299",Non-Accidental,"81,479 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-09-F-x-xxxx,February 2019,"81,479km (11 Jan 2022)"
52,2016 Honda Amaze 1.2 SMT I VTEC MANUAL,"493,799",Non-Accidental,"45,838 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-E-x-xxxx,January 2016,"45,838km (19 Jan 2022)"
53,2017 Maruti Dzire VXI MANUAL,"659,299",Non-Accidental,"26,573 km",MANUAL,Valid upto Aug 2022Zero_Dep,1st Owner,Petrol,TS-07-F-x-xxxx,August 2017,"26,573km (15 Jan 2022)"
54,2017 Hyundai Elite i20 SPORTZ 1.2 MANUAL,"605,199",Non-Accidental,"87,864 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,TS-27-7-x-xxxx,March 2017,"87,864km (18 Jan 2022)"
55,2015 Maruti Swift Dzire VXI 1.2 BS IV MANUAL,"514,699",Non-Accidental,"61,290 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,AP-03-B-x-xxxx,October 2015,"61,290km (09 Nov 2021)"
56,2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT MANUAL,"552,299",Non-Accidental,"13,696 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,TS-13-E-x-xxxx,November 2018,"13,696km (18 Jan 2022)"
57,2014 Maruti Swift ZDI MANUAL,"473,199",Non-Accidental,"85,173 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-08-E-x-xxxx,April 2014,"85,173km (03 Jan 2022)"
58,2018 Maruti Baleno ALPHA 1.2 K12 AMT  AUTOMATIC,"754,399",Non-Accidental,"60,393 km",AUTOMATIC,Valid upto Jan 20233rd Party,2nd Owner,Petrol,TS-07-G-x-xxxx,May 2018,"60,393km (12 Jan 2022)"
59,2012 Maruti Alto LXI MANUAL,"265,999",Non-Accidental,"28,719 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,AP-29-A-x-xxxx,April 2012,"28,719km (16 Nov 2021)"
60,2016 Ford New Figo 1.5 TITANIUM MANUAL,"485,899",Non-Accidental,"63,793 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-07-F-x-xxxx,September 2016,"63,793km (13 Nov 2021)"
61,2018 Hyundai Creta 1.4 E PLUS CRDI MANUAL,"888,895",Non-Accidental,"36,588 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-03-E-x-xxxx,June 2018,"36,588km (23 Dec 2021)"
62,2017 Maruti Ertiga ZDI PLUS SHVS MANUAL,"835,599",Non-Accidental,"83,971 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-08-F-x-xxxx,July 2017,"83,971km (26 Dec 2021)"
63,2014 Honda Amaze 1.5 VXMT I DTEC MANUAL,"454,399",Non-Accidental,"111,522 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,AP-09-C-x-xxxx,February 2014,"111,522km (12 Jan 2022)"
64,2019 Hyundai Elite i20 ASTA 1.2 (O) MANUAL,"764,299",Non-Accidental,"14,908 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-10-E-x-xxxx,February 2019,"14,908km (18 Jan 2022)"
65,2019 Maruti Swift VXI MANUAL,"640,699",Non-Accidental,"19,837 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-G-x-xxxx,January 2019,"19,837km (22 Jan 2022)"
66,2017 Renault Kwid RXL MANUAL,"335,099",Non-Accidental,"23,023 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-10-E-x-xxxx,April 2017,"23,023km (02 Jan 2022)"
67,2019 Maruti Alto LXI MANUAL,"332,799",Non-Accidental,"6,225 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-G-x-xxxx,October 2019,"6,225km (21 Dec 2021)"
68,2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT MANUAL,"481,399",Non-Accidental,"7,894 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-09-E-x-xxxx,August 2016,"7,894km (23 Nov 2021)"
69,2018 Hyundai NEW SANTRO 1.1 SPORTS AMT ,"545,599",Non-Accidental,"6,542 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-08-G-x-xxxx,December 2018,"6,542km (18 Jan 2022)"
70,2017 Ford New Figo 1.2 TITANIUM MANUAL,"545,999",Non-Accidental,"38,790 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,AP-07-D-x-xxxx,August 2017,"38,790km (18 Jan 2022)"
